date,driver,customer,hours,km
2022-09-21,DRIVER_15,CUSTOMER_10,9.4,515
2023-10-16,DRIVER_3,CUSTOMER_9,17.9,727
2020-04-12,DRIVER_17,CUSTOMER_4,11.0,629
2020-09-17,DRIVER_13,CUSTOMER_5,11.1,538
2020-06-17,DRIVER_1,CUSTOMER_1,17.0,557
2020-01-02,DRIVER_13,CUSTOMER_2,8.8,408
2020-10-11,DRIVER_13,CUSTOMER_4,8.6,286
2022-03-22,DRIVER_25,CUSTOMER_4,10.5,614
2023-06-26,DRIVER_15,CUSTOMER_10,14.3,931
2023-02-01,DRIVER_15,CUSTOMER_7,8.7,341
2021-08-12,DRIVER_9,CUSTOMER_1,12.7,620
2022-03-20,DRIVER_29,CUSTOMER_2,12.8,788
2023-01-21,DRIVER_12,CUSTOMER_8,16.1,419
2021-07-03,DRIVER_30,CUSTOMER_2,10.6,368
2021-06-25,DRIVER_19,CUSTOMER_3,7.4,478
2023-08-07,DRIVER_26,CUSTOMER_4,9.4,452
2023-01-11,DRIVER_18,CUSTOMER_9,13.7,645
2021-07-31,DRIVER_14,CUSTOMER_4,12.1,724
2020-11-21,DRIVER_18,CUSTOMER_5,17.4,1064
2023-12-31,DRIVER_10,CUSTOMER_10,15.5,555
2020-08-22,DRIVER_23,CUSTOMER_3,9.8,338
2021-02-23,DRIVER_23,CUSTOMER_6,16.9,818
2022-07-02,DRIVER_23,CUSTOMER_2,6.7,455
2023-09-13,DRIVER_3,CUSTOMER_1,17.5,513
2024-03-13,DRIVER_19,CUSTOMER_6,11.1,392
2020-06-07,DRIVER_8,CUSTOMER_5,14.6,528
2021-12-30,DRIVER_30,CUSTOMER_6,10.1,526
2023-09-27,DRIVER_24,CUSTOMER_5,15.7,1054
2023-04-26,DRIVER_7,CUSTOMER_10,14.6,807
2020-02-26,DRIVER_1,CUSTOMER_10,17.2,917
2021-06-16,DRIVER_13,CUSTOMER_10,10.1,608
2022-06-20,DRIVER_23,CUSTOMER_9,11.9,768
2022-09-29,DRIVER_7,CUSTOMER_8,7.4,500
2021-10-10,DRIVER_16,CUSTOMER_2,17.0,808
2020-12-08,DRIVER_6,CUSTOMER_7,4.7,163
2021-04-29,DRIVER_27,CUSTOMER_9,17.0,669
2021-09-01,DRIVER_5,CUSTOMER_3,3.2,138
2021-02-20,DRIVER_29,CUSTOMER_1,16.0,968
2023-02-22,DRIVER_8,CUSTOMER_1,3.9,204
2021-08-27,DRIVER_4,CUSTOMER_6,17.1,1104
2021-12-26,DRIVER_20,CUSTOMER_7,10.6,714
2020-03-13,DRIVER_1,CUSTOMER_4,16.8,1108
2023-09-05,DRIVER_1,CUSTOMER_2,12.1,845
2020-08-20,DRIVER_11,CUSTOMER_5,6.2,281
2022-05-21,DRIVER_4,CUSTOMER_1,13.1,808
2023-03-29,DRIVER_4,CUSTOMER_6,15.4,549
2022-03-26,DRIVER_7,CUSTOMER_7,16.7,1156
2023-06-27,DRIVER_2,CUSTOMER_3,11.7,676
2022-02-08,DRIVER_7,CUSTOMER_6,17.4,1086
2021-09-13,DRIVER_24,CUSTOMER_10,15.8,888
2020-05-25,DRIVER_2,CUSTOMER_2,15.7,467
2020-11-30,DRIVER_13,CUSTOMER_3,11.0,558
2022-09-22,DRIVER_30,CUSTOMER_9,17.8,1050
2020-08-14,DRIVER_29,CUSTOMER_5,10.5,513
2023-02-18,DRIVER_14,CUSTOMER_7,6.5,286
2020-05-27,DRIVER_5,CUSTOMER_5,8.0,249
2023-04-29,DRIVER_30,CUSTOMER_1,17.2,746
2023-12-20,DRIVER_30,CUSTOMER_6,17.1,831
2022-07-20,DRIVER_6,CUSTOMER_10,8.3,337
2022-11-11,DRIVER_22,CUSTOMER_3,11.5,426
2020-03-15,DRIVER_25,CUSTOMER_7,5.4,299
2020-07-19,DRIVER_14,CUSTOMER_8,7.3,457
2023-01-15,DRIVER_26,CUSTOMER_7,17.8,858
2023-03-17,DRIVER_4,CUSTOMER_4,6.7,452
2023-12-28,DRIVER_13,CUSTOMER_4,9.4,423
2023-10-13,DRIVER_24,CUSTOMER_9,18.0,607
2020-07-06,DRIVER_17,CUSTOMER_9,11.4,585
2024-01-07,DRIVER_17,CUSTOMER_6,10.4,478
2022-06-28,DRIVER_10,CUSTOMER_7,16.1,816
2022-06-03,DRIVER_26,CUSTOMER_5,13.4,343
2022-09-11,DRIVER_24,CUSTOMER_6,6.5,386
2022-11-17,DRIVER_7,CUSTOMER_8,8.4,507
2022-09-20,DRIVER_29,CUSTOMER_4,17.4,1014
2021-05-27,DRIVER_12,CUSTOMER_5,3.2,184
2020-08-11,DRIVER_27,CUSTOMER_7,14.9,692
2021-09-01,DRIVER_7,CUSTOMER_7,6.4,188
2023-06-11,DRIVER_2,CUSTOMER_8,4.3,213
2020-05-27,DRIVER_10,CUSTOMER_9,9.9,524
2020-09-23,DRIVER_18,CUSTOMER_9,17.2,976
2022-04-01,DRIVER_13,CUSTOMER_7,15.8,918
2021-05-21,DRIVER_7,CUSTOMER_8,9.0,421
2022-10-25,DRIVER_1,CUSTOMER_5,8.4,213
2023-04-16,DRIVER_10,CUSTOMER_5,7.3,479
2022-07-07,DRIVER_5,CUSTOMER_1,8.5,542
2021-07-25,DRIVER_13,CUSTOMER_5,3.2,84
2022-08-30,DRIVER_8,CUSTOMER_9,9.6,340
2020-07-05,DRIVER_19,CUSTOMER_2,16.6,716
2021-10-20,DRIVER_14,CUSTOMER_10,14.4,513
2020-04-01,DRIVER_23,CUSTOMER_5,9.8,323
2022-10-13,DRIVER_1,CUSTOMER_1,16.1,787
2021-01-13,DRIVER_28,CUSTOMER_8,15.4,541
2021-06-06,DRIVER_13,CUSTOMER_8,14.6,916
2021-01-16,DRIVER_26,CUSTOMER_1,17.9,1138
2022-04-29,DRIVER_4,CUSTOMER_6,14.4,616
2021-06-17,DRIVER_20,CUSTOMER_1,15.8,490
2020-08-23,DRIVER_1,CUSTOMER_4,9.9,281
2021-08-06,DRIVER_28,CUSTOMER_6,12.0,761
2023-06-06,DRIVER_4,CUSTOMER_2,12.9,580
2021-06-15,DRIVER_26,CUSTOMER_2,10.6,655
2021-07-12,DRIVER_25,CUSTOMER_6,9.8,617
2020-03-26,DRIVER_18,CUSTOMER_2,17.6,670
2021-01-28,DRIVER_3,CUSTOMER_9,10.9,385
2021-07-24,DRIVER_15,CUSTOMER_6,13.1,419
2022-01-24,DRIVER_7,CUSTOMER_1,11.6,693
2020-02-20,DRIVER_14,CUSTOMER_9,16.4,780
2021-06-25,DRIVER_12,CUSTOMER_9,13.2,840
2020-11-19,DRIVER_4,CUSTOMER_5,13.5,859
2022-08-12,DRIVER_23,CUSTOMER_4,12.5,552
2022-11-20,DRIVER_16,CUSTOMER_7,7.0,260
2021-03-13,DRIVER_8,CUSTOMER_5,15.7,828
2020-07-02,DRIVER_25,CUSTOMER_9,15.8,1074
2022-08-07,DRIVER_10,CUSTOMER_4,11.4,467
2022-01-28,DRIVER_23,CUSTOMER_1,11.3,610
2022-01-23,DRIVER_8,CUSTOMER_4,16.5,464
2024-02-09,DRIVER_22,CUSTOMER_3,13.1,793
2022-08-24,DRIVER_16,CUSTOMER_7,16.7,1006
